address,decorated
0x0047458C,??_7XTitleBackground@@6B@
0x00474594,??_7XLogoObject@@6B@
0x004745A4,??_7XRegisterInfoObject@@6B@
0x004745B4,??_7XSelectLevelObject@@6B@
0x004745C4,??_7XTitleObject@@6B@
0x004745D4,??_7XEndingObject@@6B@
0x004745E0,__real@3c2b92a6
0x004745E4,__real@3c64c388
0x004745E8,__real@3ca3d70a
0x004745EC,__real@3f266666
0x004745F0,__real@3f8ccccd
0x004745F4,__real@3fb33333
0x004745F8,__real@3fc00000
0x004745FC,__real@3fe3d70a
0x00474600,__real@432a0000
0x00474604,__real@43340000
0x00474608,__real@43c80000
0x0047460C,__real@44160000
0x00474610,__real@44340000
0x00474614,__real@c2f00000
0x00474618,_KSDATAFORMAT_SUBTYPE_DIRECTMUSIC
0x00474628,_KSDATAFORMAT_SUBTYPE_MIDI
0x00474638,_IID_IKsControl
0x00474648,_IID_IDirectMusicSegment2
0x00474658,_IID_IDirectMusicPerformance2
0x00474668,_IID_IDirectMusicBand
0x00474678,_IID_IDirectMusicComposer
0x00474688,_IID_IDirectMusicChordMap
0x00474698,_IID_IDirectMusicStyle
0x004746A8,_IID_IDirectMusicGraph
0x004746B8,_IID_IDirectMusicTool
0x004746C8,_IID_IDirectMusicPerformance
0x004746D8,_IID_IDirectMusicTrack
0x004746E8,_IID_IDirectMusicSegmentState
0x004746F8,_IID_IDirectMusicSegment
0x00474708,_IID_IDirectMusicObject
0x00474718,_IID_IDirectMusicGetLoader
0x00474728,_IID_IDirectMusicLoader
0x00474738,_GUID_DefaultGMCollection
0x00474748,_GUID_PerfAutoDownload
0x00474758,_GUID_PerfMasterGrooveLevel
0x00474768,_GUID_PerfMasterVolume
0x00474778,_GUID_PerfMasterTempo
0x00474788,_GUID_SeedVariations
0x00474798,_GUID_EnableTempo
0x004747A8,_GUID_DisableTempo
0x004747B8,_GUID_EnableTimeSig
0x004747C8,_GUID_DisableTimeSig
0x004747D8,_GUID_StandardMIDIFile
0x004747E8,_GUID_Clear_All_Bands
0x004747F8,_GUID_Disable_Auto_Download
0x00474808,_GUID_Enable_Auto_Download
0x00474818,_GUID_ConnectToDLSCollection
0x00474828,_GUID_Unload
0x00474838,_GUID_Download
0x00474848,_GUID_MuteParam
0x00474858,_GUID_IDirectMusicChordMap
0x00474868,_GUID_IDirectMusicBand
0x00474878,_GUID_TempoParam
0x00474888,_GUID_TimeSignature
0x00474898,_GUID_IDirectMusicStyle
0x004748A8,_GUID_RhythmParam
0x004748B8,_GUID_ChordParam
0x004748C8,_GUID_CommandParam2
0x004748D8,_GUID_CommandParam
0x004748E8,_GUID_NOTIFICATION_COMMAND
0x004748F8,_GUID_NOTIFICATION_CHORD
0x00474908,_GUID_NOTIFICATION_MEASUREANDBEAT
0x00474918,_GUID_NOTIFICATION_PERFORMANCE
0x00474928,_GUID_NOTIFICATION_SEGMENT
0x00474938,_GUID_DirectMusicAllTypes
0x00474948,_CLSID_DirectMusicMuteTrack
0x00474958,_CLSID_DirectMusicChordMapTrack
0x00474968,_CLSID_DirectMusicBand
0x00474978,_CLSID_DirectMusicBandTrack
0x00474988,_CLSID_DirectMusicLoader
0x00474998,_CLSID_DirectMusicSignPostTrack
0x004749A8,_CLSID_DirectMusicComposer
0x004749B8,_CLSID_DirectMusicChordMap
0x004749C8,_CLSID_DirectMusicMotifTrack
0x004749D8,_CLSID_DirectMusicStyleTrack
0x004749E8,_CLSID_DirectMusicCommandTrack
0x004749F8,_CLSID_DirectMusicChordTrack
0x00474A08,_CLSID_DirectMusicStyle
0x00474A18,_CLSID_DirectMusicTimeSigTrack
