address,size,module,game,decorated,name
0x00439D71,71,winapi_downlevel.obj,0,___vcrt_InitializeCriticalSectionEx,__vcrt_InitializeCriticalSectionEx
0x00439DCC,18,unexpected.obj,0,__get_unexpected,_get_unexpected
0x00439DDE,30,unexpected.obj,0,_set_unexpected,set_unexpected
0x00439DFC,29,unexpected.obj,0,_unexpected,unexpected
0x00439E19,29,ehstate.obj,0,?GetCurrentState@__FrameHandler3@@SAHPAUEHRegistrationNode@@PAXPBU_s_FuncInfo@@@Z,__FrameHandler3::GetCurrentState
0x00439E36,14,ehstate.obj,0,?SetState@__FrameHandler3@@SAXPAUEHRegistrationNode@@PBU_s_FuncInfo@@H@Z,__FrameHandler3::SetState
0x00439E50,1396,memmove.obj,0,_memmove,memmove
0x0043A3D0,33,exsup.obj,0,__global_unwind2,__global_unwind2
0x0043A450,151,exsup.obj,0,__local_unwind2,__local_unwind2
0x0043A4F0,43,exsup.obj,0,__abnormal_termination,__abnormal_termination
0x0043A520,12,exsup.obj,0,__NLG_Notify1,_NLG_Notify1
0x0043A530,31,exsup.obj,0,__NLG_Notify,_NLG_Notify
0x0043A550,3,exsup.obj,0,__NLG_Call,_NLG_Call
0x0043A553,35,output.obj,0,??$?0ABV?$stream_output_adapter@D@__crt_stdio_output@@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@?$format_validation_base@DV?$stream_output_adapter@D@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$stream_output_adapter@D@1@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::format_validation_base<char,__crt_stdio_output::stream_output_adapter<char> >::format_validation_base<char,__crt_stdio_output::stream_output_adapter<char> ><__crt_stdio_output::stream_output_adapter<char> const &,unsigned __int64 const &,char const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A576,72,output.obj,0,??$?0ABV?$stream_output_adapter@D@__crt_stdio_output@@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@?$positional_parameter_base@DV?$stream_output_adapter@D@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$stream_output_adapter@D@1@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::positional_parameter_base<char,__crt_stdio_output::stream_output_adapter<char> >::positional_parameter_base<char,__crt_stdio_output::stream_output_adapter<char> ><__crt_stdio_output::stream_output_adapter<char> const &,unsigned __int64 const &,char const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A5BE,53,output.obj,0,??$?0ABV?$stream_output_adapter@D@__crt_stdio_output@@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@?$standard_base@DV?$stream_output_adapter@D@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$stream_output_adapter@D@1@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::standard_base<char,__crt_stdio_output::stream_output_adapter<char> >::standard_base<char,__crt_stdio_output::stream_output_adapter<char> ><__crt_stdio_output::stream_output_adapter<char> const &,unsigned __int64 const &,char const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A5F3,35,output.obj,0,??$?0ABV?$stream_output_adapter@_W@__crt_stdio_output@@AB_KABQB_WABQAU__crt_locale_pointers@@ABQAD@?$format_validation_base@_WV?$stream_output_adapter@_W@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$stream_output_adapter@_W@1@AB_KABQB_WABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::format_validation_base<wchar_t,__crt_stdio_output::stream_output_adapter<wchar_t> >::format_validation_base<wchar_t,__crt_stdio_output::stream_output_adapter<wchar_t> ><__crt_stdio_output::stream_output_adapter<wchar_t> const &,unsigned __int64 const &,wchar_t const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A616,72,output.obj,0,??$?0ABV?$stream_output_adapter@_W@__crt_stdio_output@@AB_KABQB_WABQAU__crt_locale_pointers@@ABQAD@?$positional_parameter_base@_WV?$stream_output_adapter@_W@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$stream_output_adapter@_W@1@AB_KABQB_WABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::positional_parameter_base<wchar_t,__crt_stdio_output::stream_output_adapter<wchar_t> >::positional_parameter_base<wchar_t,__crt_stdio_output::stream_output_adapter<wchar_t> ><__crt_stdio_output::stream_output_adapter<wchar_t> const &,unsigned __int64 const &,wchar_t const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A65E,53,output.obj,0,??$?0ABV?$stream_output_adapter@_W@__crt_stdio_output@@AB_KABQB_WABQAU__crt_locale_pointers@@ABQAD@?$standard_base@_WV?$stream_output_adapter@_W@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$stream_output_adapter@_W@1@AB_KABQB_WABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::standard_base<wchar_t,__crt_stdio_output::stream_output_adapter<wchar_t> >::standard_base<wchar_t,__crt_stdio_output::stream_output_adapter<wchar_t> ><__crt_stdio_output::stream_output_adapter<wchar_t> const &,unsigned __int64 const &,wchar_t const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A693,35,output.obj,0,??$?0ABV?$string_output_adapter@D@__crt_stdio_output@@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@?$format_validation_base@DV?$string_output_adapter@D@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$string_output_adapter@D@1@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::format_validation_base<char,__crt_stdio_output::string_output_adapter<char> >::format_validation_base<char,__crt_stdio_output::string_output_adapter<char> ><__crt_stdio_output::string_output_adapter<char> const &,unsigned __int64 const &,char const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A6B6,72,output.obj,0,??$?0ABV?$string_output_adapter@D@__crt_stdio_output@@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@?$positional_parameter_base@DV?$string_output_adapter@D@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$string_output_adapter@D@1@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::positional_parameter_base<char,__crt_stdio_output::string_output_adapter<char> >::positional_parameter_base<char,__crt_stdio_output::string_output_adapter<char> ><__crt_stdio_output::string_output_adapter<char> const &,unsigned __int64 const &,char const * const &,__crt_locale_pointers * const &,char * const &>"
0x0043A6FE,53,output.obj,0,??$?0ABV?$string_output_adapter@D@__crt_stdio_output@@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@?$standard_base@DV?$string_output_adapter@D@__crt_stdio_output@@@__crt_stdio_output@@IAE@ABV?$string_output_adapter@D@1@AB_KABQBDABQAU__crt_locale_pointers@@ABQAD@Z,"__crt_stdio_output::standard_base<char,__crt_stdio_output::string_output_adapter<char> >::standard_base<char,__crt_stdio_output::string_output_adapter<char> ><__crt_stdio_output::string_output_adapter<char> const &,unsigned __int64 const &,char const * const &,__crt_locale_pointers * const &,char * const &>"
